app_name,initial_avg_cpu_80,limited_avg_cpu_80,cpu_usage_change_80,initial_avg_cpu_50,limited_avg_cpu_50,cpu_usage_change_50,initial_avg_cpu,limited_avg_cpu_30,cpu_usage_change_30
com.apple.WebKit.GPU,13.86,14.440000000000001,0.5800000000000018,13.86,13.65,-0.20999999999999908,13.86,14.27,0.41000000000000014
com.apple.WebKit.Networking,2.2,2.18,-0.020000000000000018,2.2,1.98,-0.2200000000000002,2.2,2.32,0.11999999999999966
com.apple.WebKit.WebContent,4.041818181818182,4.598,0.5561818181818179,4.041818181818182,4.141818181818182,0.09999999999999964,4.041818181818182,4.670909090909091,0.6290909090909089
com.apple.accessibility.mediaaccessibilityd,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
com.apple.appkit.xpc.openAndSavePanelService,0.0,0.08,0.08,0.0,0.02,0.02,0.0,0.36,0.36
com.apple.dock.extra,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02
com.apple.geod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
com.apple.hiservices-xpcservice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contactsd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containermanagerd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contentlinkingd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coreauthd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coremediaserver,0.2,0.16,-0.04000000000000001,0.2,0.2,0.0,0.2,0.18,-0.020000000000000018
corespeechd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corespotlightd,0.0,0.04,0.04,0.0,0.06000000000000001,0.06000000000000001,0.0,0.04,0.04
ctkahp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diagnostics_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distnoted,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0
dmd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
donotdisturbd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extensionkitservice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
familycircled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fileproviderd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
